file,demucs_time,whisper_time,wer,substitutions,deletions,insertions,correct_matches,total_actual_words,start_rmse,end_rmse,matched_words_with_timing,avg_start_diff,avg_end_diff
1_Freak_-_Automatisch_Gekommen,13.353970079999954,30.005852151,0.16893732970027248,61,0,1,306,367,0.173768110358516,0.09884110553434354,306,0.1079765005663405,0.07391671997418327
Bitte_beweg_dich_nicht_-_Bukto,14.236535193999998,10.148579674999837,0.24079320113314448,53,32,0,268,353,0.22176961294166897,0.15871096371915888,268,0.14151318365111953,0.11778762305037253
Burn_Out_Man_-_Abendblau,13.37774760100001,15.436465058000067,0.30606060606060603,97,4,0,229,330,0.40189695264477776,0.2467096321324786,229,0.22897310714890767,0.1549083168344968
Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique,13.224933543000134,6.29639774899988,1.0,36,56,0,0,92,0.0,0.0,0,0.0,0.0
Da_wurdest_du_geboren_-_Alice_Tlustos_,11.439922054999897,9.307965477999915,0.19594594594594594,18,0,11,130,148,9.68876829501392,9.840494529775382,130,3.558165942996153,3.577614980843076
Der_Baum_-_Dienstag_is_Damensauna_(2),11.216110658999924,13.412241518999963,0.40540540540540543,73,0,17,149,222,0.5269332536933157,0.1415942269634155,149,0.2524957175469793,0.11073854540805302
Der_Musiker_-_d-music,15.319750211999917,21.19999981000001,0.9858757062146892,259,90,0,5,354,119.40464526079329,119.41244502319485,5,109.24700247192,109.26876263427998
Die_Revolution_gehört_Dir!_-_partysahnen,9.348714226999846,7.11477796600002,0.34615384615384615,12,42,0,102,156,0.9119756568986785,0.8411717168331934,102,0.5578041315990194,0.4838449597862749
Drei_Nüsse_-_patrouille,13.83775319900019,16.677107133999925,0.3140655105973025,21,0,142,498,519,0.20651280441369424,0.11167722082735138,498,0.14435356201325367,0.09827201245702882
Freifliegen_-_durch.dick.und.duenn,13.47706882500006,8.71733455499998,0.25925925925925924,23,0,12,112,135,0.45879945733104033,0.28419390396084093,112,0.2955788292223224,0.18995807375089407
Fußabdrücke_-_Andreas_Jachmann,12.928035926999883,11.661585629000001,0.21428571428571427,20,0,13,134,154,0.6149799702866046,0.2369639528279322,134,0.3733332266753734,0.17648577106641747
Ich_kann_dich_nicht_vergessen_-_Wingenbach_Frank,13.775873459999957,17.9651955679999,0.5757575757575758,53,0,61,145,198,0.6721877198837906,0.21767666556479165,145,0.3470865620579303,0.1507302809075852
Intro_[Pulsschlag]_-_Zeugen_der_Leere_(2),9.081042732000014,4.129758726000091,1.0,12,70,0,0,82,0.0,0.0,0,0.0,0.0
Keine_Lust_-_Jonny_M,12.463193606999994,15.977878057999988,0.4034090909090909,176,37,0,315,528,13.835798010282767,13.804230915465826,315,4.23103371659619,4.208765686763174
Musik_-_Heiko,15.604797229000042,17.553025128999934,0.20675105485232068,22,0,27,215,237,0.3834223655976629,0.5920819925625048,215,0.23706038222046474,0.25471060073906904
SHANEY_23_feat._G1NA_G._x_In_den_Strassen_-_Shaney_23,12.041721390999783,9.078669853000065,0.484375,170,47,0,231,448,25.92917530894852,25.951445896840195,231,10.662647013809524,10.636651748891776
Schnodderdodder_-_Abendblau,11.006836735999968,9.453687376000062,0.19931271477663232,56,2,0,233,291,0.2797577264404481,0.1856648291155691,233,0.16336565042188883,0.0994476911025755
Sehnsucht-Unplugged_-_REH-TORTE,12.706005926999978,11.772362938000015,0.3576158940397351,24,0,30,127,151,0.4349222868387412,0.3506603447224056,127,0.25804678368661493,0.15999066450708702
Veränderung_-_doromusis,10.409293746000003,12.441241970999954,0.44549763033175355,91,0,3,120,211,0.2850273073830713,0.5212117769716174,120,0.18910809818916663,0.22169775883499954
dich_gehen_zu_sehn._-_Wingenbach_Frank,10.462871963999987,6.773276141999986,0.11049723756906077,16,4,0,161,181,0.8501838120958785,0.3961351551177988,161,0.44457020161242167,0.1948503382900617
